CHROMOSOME	GENOME_START	GENE_SYMBOL
18	60790579	BCL2
18	49866542	DCC
18	60994959	KDSR
18	56338618	MALT1
19	40736224	AKT2
19	50168823	BCL2L12
19	45250962	BCL3
19	42381190	CD79A
19	33790840	CEBPA
19	33369902	CEP89
2	237476430	ACKR3
2	223725652	ACSL3
2	158592958	ACVR1
2	148602086	ACVR2A
2	25956622	ASXL2
2	216176540	ATIC
2	60678302	BCL11A
2	32582096	BIRC6
2	204571198	CD28
2	189839046	COL3A1
2	225334867	CUL3
2	136871919	CXCR4
2	74588281	DCTN1
2	25455845	DNMT3A
2	42396490	EML4
2	212240446	ERBB4
2	128014866	ERCC3
2	48016455	FBXO11
2	176968944	HOXD11
2	209100951	IDH1
2	NA	IGK
2	187454792	ITGAV
20	30946155	ASXL1
20	20015012	CRNKL1
20	57414773	GNAS
20	39314488	MAFB
21	39751949	ERG
22	39378352	APOBEC3B
22	23521891	BCR
22	29083731	CHEK2
22	19166986	CLTCL1
22	41487790	EP300
22	35462129	ISX
22	21333751	LZTR1
22	22108789	MAPK1
3	142168077	ATR
3	52435029	BAP1
3	187439165	BCL6
3	53528683	CACNA1D
3	105374305	CBLB
3	32993066	CCR4
3	128888327	CNBP
3	41236328	CTNNB1
3	186500994	EIF4A2
3	89156674	EPHA3
3	185764097	ETV5
3	10068098	FANCD2
3	13573824	FBLN2
3	59735036	FHIT
3	138663066	FOXL2
3	71003844	FOXP1
3	128198270	GATA2
3	155588325	GMPS
3	185361527	IGF2BP2
3	187871072	LPP
3	185000729	MAP3K13
4	87856154	AFF1
4	185548850	CASP3
4	54875956	CHIC2
4	191005267	DUX4L1
4	187508937	FAT1
4	126237554	FAT4
4	153242410	FBXW7
4	1795034	FGFR3
4	54243810	FIP1L1
4	123372625	IL2
4	55944644	KDR
4	55524085	KIT
4	108968701	LEF1
5	131142683	ACSL6
5	132211071	AFF4
5	112043195	APC
5	142149949	ARHGAP26
5	149781200	CD74
5	24487209	CDH10
5	149432854	CSF1R
5	137946656	CTNNA1
5	10971952	CTNND2
5	31400604	DROSHA
5	158122928	EBF1
5	176513887	FGFR4
5	180028506	FLT4
5	32124810	GOLPH3
5	55230923	IL6ST
5	35852797	IL7R
5	156569944	ITK
5	38475065	LIFR
5	56111401	MAP3K1
6	168227602	AFDN
6	136578001	BCLAF1
6	99990256	CCNC
6	33286335	DAXX
6	18224099	DEK
6	139117063	ECT2L
6	93949738	EPHA7
6	151977826	ESR1
6	159186773	EZR
6	117639374	GOPC
6	26031817	HIST1H3B
6	27107076	HIST1H4I
6	29909037	HLA-A
6	34204650	HMGA1
6	44214824	HSP90AB1
6	391739	IRF4
6	149979289	LATS1
7	91570181	AKAP9
7	140419127	BRAF
7	2945775	CARD11
7	92234235	CDK6
7	145813453	CNTNAP2
7	137559725	CREB3L2
7	101458959	CUX1
7	55086714	EGFR
7	73442119	ELN
7	13930853	ETV1
7	148504475	EZH2
7	143050493	FAM131B
7	32997017	FKBP9
7	86273230	GRM3
7	75162621	HIP1
7	26229547	HNRNPA2B1
7	27221129	HOXA11
7	27233122	HOXA13
7	27202054	HOXA9
7	50343720	IKZF1
7	27870192	JAZF1
7	138516126	KIAA1549
7	151832010	KMT2C
7	20174278	MACC1
8	41510739	ANK1
8	1772142	ARHGEF10
8	95139399	CDH17
8	57124245	CHCHD7
8	87878670	CNBD1
8	100885428	COX6C
8	113235157	CSMD3
8	109213445	EIF3E
8	118806729	EXT1
8	139142266	FAM135B
8	38268656	FGFR1
8	80676245	HEY1
8	42752075	HOOK3
8	42128820	IKBKB
8	41786997	KAT6A
8	29952914	LEPROTL1
8	56792372	LYN
9	133589333	ABL1
9	136895427	BRD3
9	5450503	CD274
9	21967751	CDKN2A
9	123837141	CNTRL
9	97861336	FANCC
9	35073832	FANCG
9	132649466	FNBP1
9	80331003	GNAQ
9	4985033	JAK2
9	110247133	KLF4
X	63404997	AMER1
X	66764465	AR
X	47420516	ARAF
X	152783134	ATP2B3
X	76760356	ATRX
X	39909068	BCOR
X	129115083	BCORL1
X	100604435	BTK
X	1314890	CRLF2
X	125298337	DCAF12L2
X	41192651	DDX3X
X	20142636	EIF1AX
X	129198849	ELF4
X	37026432	FAM47C
X	153576892	FLNA
X	70316047	FOXO4
X	48644962	GATA1
X	132669773	GPC3
X	107975712	IRS4
X	53220503	KDM5C
X	44732757	KDM6A
