X.chr	begin	relativeCvg
chr19	8737198	0.67
chr19	8852000	0.17
chr19	8898000	0.67
chr19	20573415	0.67
chr19	20580000	0.89
chr19	20594000	0.66
chr19	27748000	0.92
chr19	37486000	0.65
chr19	37570000	0.93
chr20	14158000	0.64
chr20	30778000	0.65
chr20	32242000	0.61
chr20	34947085	0.61
chr21	47544000	0.62
chr22	17394000	0.92
chr22	17518000	0.94
chr22	18794000	0.67
chr22	18810000	0.93
chr22	20488000	0.93
chr22	20609431	0.93
chr22	25240000	0.94
chr22	37144000	0.11
chr22	37148000	0.94
chr22	50414777	0.94
chrX	60000	0.38
chrX	144821	0.38
chrX	281384	0.38
chrX	1097557	0.38
chrX	1184113	0.38
chrX	1314234	0.38
chrX	2118238	0.38
chrX	2372000	0.09
chrX	2378000	0.36
chrX	2954000	0.07
chrX	2958000	0.36
chrX	7673882	0.36
chrX	10788674	0.36
chrX	37148256	0.36
chrX	48914000	0.84
chrX	49292997	0.84
chrX	49294000	0.66
chrX	49364000	0.89
chrX	50024173	0.89
chrX	53400000	0.91
chrX	62728000	0.63
chrX	62774000	0.84
chrX	76468000	0.82
chrX	76703692	0.82
chrX	84546000	0.86
chrX	104552000	0.29
chrX	104588000	0.88
chrX	113567668	0.88
chrX	115732290	0.88
chrX	120063235	0.88
chrX	141764000	0.62
chrX	142774000	0.91
chrX	143557324	0.91
chrX	148956424	0.91
chrX	149082062	0.91
chrX	152327099	0.91
chrX	154480000	0.67
chrX	154804000	0.62
chrM	0	0.48
chr1	35082000	1.35
chr1	48878000	1.50
chr1	72778000	1.72
chr1	85980000	2.14
chr1	85986000	2.27
chr1	91854000	1.46
chr1	99712000	1.54
chr1	119198000	1.48
chr1	120532000	2.06
chr1	120747156	2.06
chr1	121086695	2.06
chr1	121140000	1.46
chr1	142535434	1.46
chr1	143344000	1.45
chr1	143644525	3.62
chr1	143726000	3.02
chr1	143871002	3.02
chr1	143878000	2.29
chr1	143974000	2.07
chr1	144145783	2.07
chr1	144150000	2.53
chr1	144152000	3.01
chr1	144218000	2.44
chr1	144274481	2.44
chr1	144451744	2.44
chr1	144610000	1.95
chr1	144672413	1.95
chr1	144810724	1.95
chr1	145098000	2.54
chr1	145392000	2.89
chr1	145406000	3.36
chr1	145883118	3.36
chr1	146026000	2.85
chr1	146080000	3.48
chr1	146214650	2.52
chr1	146250000	1.90
chr1	146303299	1.90
chr1	146342000	2.87
chr1	146380000	2.55
chr1	146488000	2.95
chr1	146794000	1.59
chr1	146798000	2.86
chr1	146896000	1.46
chr1	146900000	2.99
chr1	147364000	3.36
chr1	147566000	2.86
chr1	147622000	3.50
chr1	147736000	3.84
chr1	147836000	3.60
chr1	147914000	2.54
chr1	148008000	2.04
chr1	148176038	3.05
chr1	148262000	2.65
chr1	148511358	2.65
chr1	148586000	3.14
chr1	148662000	2.34
chr1	148734147	2.34
chr1	148756000	3.08
chr1	148824000	2.18
chr1	148886000	2.42
chr1	149004460	2.03
chr1	149036000	3.13
chr1	149054000	1.62
chr1	149058000	3.05
chr1	149296000	2.54
chr1	149416000	2.01
chr1	149440000	2.53
chr1	149509645	2.53
chr1	149796000	2.85
chr1	149924000	1.95
chr1	149930000	3.71
chr1	150162000	3.76
chr1	150438000	3.71
chr1	151356000	3.06
chr1	151864000	3.33
chr1	152188000	3.17
chr1	152586000	1.51
chr1	152590000	3.30
chr1	152628000	3.21
chr1	152828000	3.28
chr1	206072707	1.80
chr1	206160000	1.48
chr1	206482221	1.53
chr1	206558000	1.91
chr2	5764000	1.54
chr2	73126000	2.32
chr2	73240000	1.48
chr2	73558000	1.48
chr2	74954000	1.31
chr2	78250000	1.45
chr2	78354000	1.44
chr2	79020000	2.03
chr2	82330000	2.00
chr2	83050000	1.44
chr2	87568000	1.87
chr2	87618000	1.43
chr2	87718206	1.43
chr2	89842000	1.33
chr2	90274000	1.82
chr2	90308000	1.38
chr2	90371525	1.38
chr2	90448000	1.96
chr2	90474000	1.56
chr2	90494000	1.82
chr2	90536000	1.31
chr2	91595103	1.31
chr2	91672000	1.99
chr2	91694000	1.44
chr2	91712000	1.90
chr2	91914000	1.50
chr2	95326171	1.50
chr2	95406000	1.85
chr2	95464000	1.57
chr2	95576000	1.99
chr2	95882000	1.42
chr2	96034000	1.97
chr2	96836000	2.50
chr2	96902000	2.08
chr2	97028000	1.51
chr2	97394000	2.51
chr2	97764000	1.61
chr2	98054000	1.79
chr2	98422000	1.53
chr2	98664000	1.79
chr3	614000	1.37
chr3	64574000	1.51
chr3	64788000	1.46
chr3	66022000	1.76
chr3	66086000	2.59
chr3	66270270	2.59
chr3	69926000	2.31
chr3	70384000	2.05
chr3	70486000	1.58
chr3	70512000	1.75
chr3	71768000	2.05
chr3	73348000	2.38
chr3	75142000	2.18
chr3	75212000	1.42
chr3	75718000	1.33
chr3	75982000	1.53
chr3	192774000	1.36
chr4	4176000	1.34
chr4	4672000	1.42
chr4	9766000	1.31
chr4	20066000	1.48
chr4	46178000	1.51
chr5	12814000	1.75
chr5	29402000	1.44
chr5	49405641	1.44
chr6	142000	1.50
chr6	7380000	1.51
chr6	15858000	1.78
chr6	15916000	1.50
chr6	19774000	1.77
chr6	20128000	1.51
chr6	23902000	1.75
chr6	24060000	1.71
chr6	24166000	1.78
chr6	24494000	1.50
chr6	28904000	1.83
chr6	32222000	1.54
chr6	33888000	1.83
chr6	33964000	1.63
chr6	34054000	1.82
chr6	44714000	1.46
chr6	44734000	1.85
chr6	44838000	1.59
chr6	44874000	1.82
chr6	46552000	1.49
chr6	51094000	1.51
chr6	51120000	1.76
chr6	51270000	1.52
chr6	51396000	1.77
chr7	82906000	1.67
chr7	142046000	1.40
chr7	142098195	1.40
chr7	142326197	1.40
chr7	151898000	1.36
chr7	152066000	1.37
chr8	43092000	1.44
chr8	48016000	1.36
chr8	48135599	1.36
chr8	132282000	1.88
chr9	42742000	1.31
chr9	69740000	1.31
chr9	140778000	2.00
chr10	37762000	1.32
chr10	38770000	1.38
chr10	38868835	1.38
chr10	42354935	1.38
chr10	42528000	1.33
chr10	42596687	1.33
chr10	127574000	1.53
chr11	11230000	1.45
chr11	50636000	1.52
chr11	51090853	1.52
chr11	51566000	1.40
chr11	54694205	1.40
chr11	77338000	1.81
chr11	77632000	1.61
chr11	77634000	1.80
chr11	78364000	1.72
chr11	79716000	1.74
chr11	80004000	1.70
chr11	82486000	1.76
chr11	82970000	1.70
chr11	84370000	1.67
chr11	84566000	1.77
chr11	84634000	1.37
chr11	84828000	1.76
chr11	85036000	1.39
chr11	85044000	1.79
chr11	85102000	1.69
chr11	85224000	1.80
chr11	86230000	1.70
chr11	86374000	2.02
chr11	87164000	1.71
chr11	87738378	1.71
chr11	88036000	1.76
chr11	88104000	1.68
chr11	91074000	2.00
chr11	92876000	2.03
chr11	96437584	2.03
chr11	101604000	7.84
chr11	101620000	8.06
chr11	102210000	10.44
chr11	102412000	11.84
chr11	102756000	2.64
chr11	105570000	1.46
chr11	106446000	6.82
chr11	107244000	2.96
chr11	107250000	4.53
chr11	107548000	3.57
chr11	110554000	7.41
chr11	110914000	2.83
chr11	110916000	1.51
chr11	110972000	1.81
chr11	111076000	1.43
chr11	113286000	1.87
chr11	113782000	1.46
chr11	117708000	1.32
chr11	119184000	1.77
chr11	119770000	1.58
chr11	119808000	1.76
chr11	120452000	1.72
chr11	120792000	1.76
chr11	121646000	1.70
chr11	121736000	1.95
chr11	122304000	1.52
chr11	123338000	1.78
chr11	127190000	1.36
chr11	127382000	1.53
chr11	127916000	1.79
chr11	128494000	1.51
chr11	129992000	2.06
chr11	131788000	1.49
chr11	132480000	1.74
chr11	132964000	1.73
chr11	133526000	1.75
chr11	133674000	1.71
chr11	134008000	1.79
chr11	134058000	1.33
chr12	73514000	1.43
chr12	73616000	1.48
chr12	96836000	1.50
chr13	100844000	1.42
chr13	108584000	1.42
chr13	108634000	1.98
chr13	111384000	2.61
chr13	112152000	3.03
chr13	112190000	4.28
chr13	112324000	4.20
chr13	112503994	4.20
chr13	112992000	4.33
chr13	113116000	5.60
chr13	114425993	5.60
chr13	114739948	5.60
chr14	19000000	1.48
chr14	19780000	1.39
chr14	20188000	1.90
chr14	20288000	1.64
chr14	20784000	1.75
chr14	21192000	1.72
chr14	21418000	1.75
chr14	22316000	2.02
chr14	22380000	1.58
chr14	22640000	1.93
chr14	22960000	1.33
chr14	31118000	1.50
chr14	40582000	1.58
chr14	41008000	1.87
chr14	41608000	1.51
chr14	41684000	1.87
chr14	41798000	1.62
chr14	41928000	2.14
chr14	45446000	2.25
chr14	47548000	2.17
chr14	49872000	2.32
chr14	50628000	1.80
chr14	50650000	1.70
chr14	51640000	1.84
chr14	54854000	1.69
chr14	78278000	1.36
chr14	79534000	1.37
chr14	80616000	1.38
chr14	82948000	1.37
chr14	86486000	1.31
chr14	86668000	1.31
chr14	93396000	1.58
chr14	94216000	1.82
chr14	95134000	1.56
chr14	95234000	1.86
chr14	95428000	1.45
chr14	96872000	1.92
chr14	104176000	1.55
chr14	105192000	1.88
chr14	106536000	2.62
chr14	106570000	2.00
chr14	106782000	2.59
chr14	106824000	1.86
chr14	106878000	1.54
chr14	106918000	1.63
chr14	106940000	1.88
chr14	107258000	1.64
chr15	20312000	1.39
chr15	20520000	1.36
chr15	21318000	1.39
chr15	27488000	1.43
chr15	102288000	1.42
chr16	70846000	1.50
chr16	71126000	1.81
chr16	88642000	1.84
chr17	800000	1.52
chr17	1514000	1.88
chr17	2176000	1.59
chr17	4364000	1.94
chr17	4444000	1.96
chr17	12846000	1.82
chr17	14126000	2.01
chr17	15170000	1.79
chr17	15420000	1.40
chr17	16144000	1.83
chr17	19608000	1.85
chr17	20222000	1.49
chr17	20594000	1.83
chr17	20740000	1.64
chr17	20800000	1.82
chr17	21186000	1.59
chr17	48526000	1.81
chr17	50486000	1.75
chr17	51826000	1.69
chr17	52010000	1.75
chr17	52124000	1.71
chr17	52260000	1.76
chr17	53578000	1.33
chr17	53586000	1.77
chr17	53862000	1.72
chr17	54112000	1.84
chr17	58080000	1.51
chr17	58106000	1.86
chr17	59262000	1.37
chr17	59290000	1.84
chr17	60296000	1.55
chr17	60358000	1.83
chr17	70886000	1.84
chr18	44000	1.53
chr18	132000	1.79
chr18	1512000	1.59
chr18	1536000	1.79
chr18	4450000	1.71
chr18	4582000	1.77
chr18	4620000	1.71
chr18	8130000	1.80
chr18	11608000	1.39
chr18	11654000	1.78
chr18	12122000	1.68
chr18	12208000	1.80
chr18	13974000	1.59
chr18	18510898	1.59
chr18	19348000	1.43
chr18	49984000	1.39
chr19	2148000	2.40
chr19	3180000	2.38
chr19	3780000	2.09
chr20	25720000	1.32
chr20	26048000	1.31
chr20	26196000	1.62
chr20	61846000	1.69
chr20	62094000	1.77
chr20	62860000	1.60
chr21	9411193	1.66
chr21	9645548	1.66
chr21	9714000	1.31
chr21	9825437	1.31
chr21	10084920	1.31
chr21	10368000	1.40
chr21	10697896	1.40
chr21	14338129	1.40
chr22	16308000	1.34
chr22	16847850	1.34
chr22	17348000	1.42
chr22	17496000	1.39
chr22	20370000	1.69
chr22	21710000	1.69
chr22	21852000	1.79
chr22	22548000	1.76
chr22	22592000	1.66
chr22	22674000	1.79
chr22	23674000	1.36
chr22	24742000	2.09
chr22	24972000	2.59
chr22	24998000	1.98
chr22	25058000	2.61
chr22	25220000	2.71
chrX	52232000	1.41
chrX	52504000	1.43
chrX	53376000	1.52
chrX	57106000	1.45
chrX	62884000	1.35
chrX	76790000	1.40
