X.chr	begin	relativeCvg
chr5	156084000	2.21
chr5	180376000	1.53
chr6	24814000	2.27
chr6	29852000	1.39
chr6	32606000	1.34
chr6	42502000	1.41
chr6	61880166	2.06
chr6	61918000	2.56
chr6	62178589	2.45
chr6	62388000	2.80
chr6	62520000	2.46
chr6	62864000	2.20
chr6	63070000	2.46
chr6	63490000	2.15
chr6	63550000	2.27
chr6	63702000	2.21
chr6	64080000	2.35
chr6	64506000	2.27
chr6	64626000	3.42
chr6	64642000	2.15
chr6	75466000	1.45
chr6	78428000	4.75
chr6	78430000	2.68
chr7	4622000	3.43
chr7	38304000	1.36
chr8	7356000	4.11
chr8	57476000	1.35
chr8	62006000	1.36
chr8	78254000	1.40
chr9	4104000	1.35
chr9	11790000	1.43
chr9	116310000	1.43
chr9	136450000	1.45
chr9	137091193	1.45
chr9	139216997	1.45
chr10	81476000	1.51
chr10	86890000	1.41
chr10	88996000	1.39
chr10	89170000	1.48
chr10	101580000	2.09
chr11	452000	1.41
chr11	1546000	2.14
chr11	1736000	2.51
chr11	1840000	2.09
chr11	2062000	2.59
chr11	2090000	2.03
chr11	3730000	2.34
chr11	3834000	2.18
chr11	4100000	2.36
chr11	4190000	2.14
chr11	4220000	2.39
chr11	4234000	2.00
chr11	5008000	2.28
chr11	5124000	2.08
chr11	5784000	1.42
chr11	45822000	1.46
chr11	46360000	2.14
chr11	46424000	2.50
chr11	101566000	2.96
chr11	110524000	1.86
chr12	706000	2.55
chr12	1654000	1.43
chr12	10802000	2.59
chr12	11226000	1.75
chr12	11252000	2.39
chr12	11412000	2.12
chr12	11502000	2.37
chr12	27506000	1.43
chr12	56150000	1.36
chr12	58268000	1.42
chr12	58722000	4.20
chr12	58730000	1.37
chr12	69146000	1.54
chr12	91372000	1.40
chr12	97094000	1.36
chr13	112148000	2.03
chr14	22020000	1.34
chr14	35276000	1.41
chr14	53802000	1.38
chr14	60958000	1.48
chr14	101426000	1.52
chr14	106570000	1.42
chr15	50570000	1.59
chr15	51048000	2.07
chr15	51212000	1.47
chr15	52574000	1.40
chr15	55850000	1.45
chr15	57138000	1.46
chr15	57554000	1.38
chr15	57884000	1.35
chr15	58706000	1.46
chr15	58842000	1.38
chr15	58946000	1.46
chr15	67242000	1.49
chr15	69894000	1.44
chr15	74606000	1.39
chr15	76764000	1.47
chr15	77108000	1.49
chr15	77720000	1.45
chr15	78114000	1.42
chr15	80014000	1.40
chr15	80472000	1.37
chr15	80550000	1.37
chr15	80908000	1.39
chr16	19946000	1.40
chr16	70844000	1.38
chr16	76464000	1.38
chr16	78384000	1.41
chr16	85318000	2.13
chr16	85440000	3.68
chr16	85442000	2.07
chr16	85482000	1.46
chr16	88439383	1.46
chr17	18252000	1.35
chr17	30022000	1.52
chr17	30966000	1.45
chr17	31116000	1.46
chr17	36664000	1.56
chr17	43602000	1.39
chr17	43842000	1.44
chr17	47310000	1.53
chr17	51698000	1.41
chr17	60712000	1.46
chr17	79930000	1.48
chr18	10000	1.42
chr18	114000	1.63
chr18	346000	1.92
chr18	2778000	1.48
chr18	21840000	1.44
chr19	27746000	39.59
chr19	28936000	41.94
chr19	30300000	15.49
chr19	32108000	22.41
chr19	34040000	1.96
chr19	38278000	3.55
chr20	45782000	1.52
chr20	46976000	1.44
chr20	58446000	1.42
chr22	18928000	2.56
chr22	24274000	1.47
chr22	40270000	2.62
chrX	135528000	1.36
chrX	138616000	1.41
